time;bulk
7300;199.9183562
7310;201.3879439
7320;200.5442917
7330;202.0138794
7340;200.6259355
7350;199.9183562
7360;199.8911417
7370;200.2993605
7380;200.925296
7390;200.8980814
7400;199.9727854
7410;200.5987209
7420;200.8164376
7430;199.210777
7440;199.9455708
7450;200.0544292
7460;199.3196353
7470;198.8297728
7480;199.3468499
7490;201.3063002
7500;199.537352
7510;200.1088583
7520;199.7550687
7530;200.5987209
7540;199.0474895
7550;199.8094979
7560;201.578446
7570;200.2449313
7580;200.0816438
7590;201.1157981
7600;199.210777
7610;199.9727854
7620;199.7822833
7630;200.7620084
7640;199.7278541
7650;200.0816438
7660;199.9727854
7670;199.7006395
7680;201.0613689
7690;198.8842019
7700;200.7620084
7710;199.8094979
7720;201.2790856
7730;199.074704
7740;200.6803647
7750;198.421554
7760;199.7822833
7770;200.5170772
7780;200.0816438
7790;199.9455708
7800;199.7278541
7810;201.4423731
7820;200.1632875
7830;199.7550687
7840;199.2924207
7850;199.9183562
7860;199.537352
7870;199.3468499
7880;200
7890;200.7075793
7900;201.6600898
7910;200.3537896
7920;199.1019186
7930;200.1088583
7940;200.0544292
7950;201.3063002
7960;199.7006395
7970;198.8569873
7980;200.0544292
7990;199.6462104
8000;199.5645666
8010;199.6189958
8020;200.5170772
8030;199.6462104
8040;200.2177167
8050;200.3537896
8060;200.7620084
8070;200.6531501
8080;199.9455708
8090;201.6056606
8100;200.3810042
8110;200.5715063
8120;199.3468499
8130;200.0816438
8140;199.7006395
8150;200.5715063
8160;200.5170772
8170;199.3468499
8180;198.8842019
8190;199.7006395
8200;200.4898626
8210;200.2449313
8220;199.8911417
8230;199.3740645
8240;198.748129
8250;200.1905021
8260;201.6600898
8270;199.1291332
8280;200.7075793
8290;200.9525105
8300;199.9183562
8310;200.0544292
8320;199.3468499
8330;199.7006395
8340;200.5987209
8350;200.5170772
8360;198.8025582
8370;199.9727854
8380;202.2043815
8390;201.4151585
8400;200.5715063
8410;200.5987209
8420;199.7822833
8430;199.6189958
8440;200.9525105
8450;199.210777
8460;200.0272146
8470;199.5645666
8480;200.9797251
8490;200.789223
8500;200.4898626
8510;199.8639271
8520;200.9525105
8530;198.9386311
8540;199.074704
8550;201.578446
8560;200.1088583
8570;200.7347938
8580;198.9114165
8590;199.2379916
8600;201.2790856
8610;201.9866649
8620;200.5442917
8630;199.5917812
8640;199.537352
8650;201.251871
8660;199.7006395
8670;200.3810042
8680;200.6531501
8690;200.7347938
8700;201.8505919
8710;200.1905021
8720;200.9797251
8730;198.6392706
8740;200.5987209
8750;198.8297728
8760;201.7689482
8770;201.251871
8780;200.1088583
8790;201.6600898
8800;199.4829228
8810;201.5240169
8820;198.748129
8830;199.537352
8840;199.8639271
8850;200.0272146
8860;200.2993605
8870;202.0955232
8880;200.2449313
8890;200.789223
8900;200.925296
8910;199.7006395
8920;198.7209144
8930;200.6259355
8940;200.4354334
8950;200.5442917
8960;199.1835624
8970;200.0816438
8980;201.1157981
8990;201.0885835
9000;199.7822833
9010;200.4898626
9020;201.0885835
9030;200.5987209
9040;201.2790856
9050;200.5442917
9060;200.7347938
9070;200.1632875
9080;200.6531501
9090;200.2993605
9100;201.1430127
9110;199.8639271
9120;200.1632875
9130;200.925296
9140;199.4012791
9150;199.3196353
9160;201.6600898
9170;199.2652062
9180;199.9455708
9190;201.1430127
9200;199.7006395
9210;201.6873044
9220;200.2721459
9230;199.5101374
9240;201.714519
9250;202.1499524
9260;200.7347938
9270;200.5442917
9280;199.2379916
9290;203.3746088
9300;199.2652062
9310;200.5987209
9320;202.177167
9330;200.2993605
9340;199.9183562
9350;199.9455708
9360;200.7347938
9370;200.2177167
9380;200.789223
9390;199.2652062
9400;200.0816438
9410;200.326575
9420;200.2177167
9430;201.4423731
9440;199.8094979
9450;201.7961627
9460;199.8639271
9470;200.0272146
9480;200.0816438
9490;201.3335148
9500;200.3537896
9510;199.5917812
9520;199.0202749
9530;201.2246564
9540;200.789223
9550;200.7075793
9560;200.9797251
9570;199.2379916
9580;200.7347938
9590;200.5987209
9600;199.7006395
9610;199.6462104
9620;198.8842019
9630;200.8708668
9640;201.578446
9650;200.6259355
9660;199.8367125
9670;201.7961627
9680;199.3196353
9690;201.1702272
9700;201.4151585
9710;199.9183562
9720;200.5715063
9730;202.5309566
9740;202.1499524
9750;200.6259355
9760;199.6189958
9770;200.0544292
9780;201.1702272
9790;199.8911417
9800;199.9727854
9810;201.4423731
9820;200.2177167
9830;200.2177167
9840;200.1905021
9850;200.6531501
9860;201.578446
9870;200.2177167
9880;201.9050211
9890;201.0069397
9900;201.3063002
9910;200.5442917
9920;201.6056606
9930;200.9525105
9940;199.9183562
9950;200.5170772
9960;200.8164376
9970;200.6531501
9980;200.9797251
9990;200
