TRACK_ID;POSITION_X;POSITION_Y;POSITION_T;RADIUS;MEAN_INTENSITY_CH1;MEAN_INTENSITY_CH3
36;1716.595379;446.7365916;56;32.5;167.8599488;938.7520638
36;1713.161837;430.1196731;2;32.5;69.53373185;757.2023911
36;1715.746361;444.8576828;23;32.5;116.883006;926.9578708
36;1716.317672;446.4507837;43;32.5;150.3840023;932.4554512
36;1716.487395;446.861501;50;32.5;160.2886422;937.5619129
36;1716.64892;447.0764968;57;32.5;169.8420154;939.9262738
36;1716.606626;446.2017337;38;32.5;142.7213208;933.4634216
36;1716.464795;446.6894452;45;32.5;153.4395104;938.234842
36;1716.142058;445.4434663;26;32.5;123.0401366;926.3131227
36;1712.300787;434.3366783;3;32.5;72.36606889;801.8847139
36;1715.266477;439.12928;7;32.5;81.80529462;868.853971
36;1715.130961;442.8194479;13;32.5;95.66353544;906.9644179
36;1714.256396;438.6111551;4;32.5;75.06717905;870.0256191
36;1717.017387;446.9248706;53;32.5;164.0927982;937.4269855
36;1716.083645;445.5870969;31;32.5;130.9604327;933.2234557
36;1716.003407;445.8314682;32;32.5;132.5456874;932.1912895
36;1712.370356;416.390408;1;32.5;71.60717336;490.0031312
36;1715.456017;444.2492218;18;32.5;106.2291489;917.038998
36;1715.907546;443.2142741;12;32.5;93.65101053;908.1719328
36;1716.243761;445.1499948;27;32.5;124.5482494;924.8884145
36;1715.910199;445.3125565;24;32.5;119.107031;924.6797609
36;1715.092689;442.516848;9;32.5;86.61656704;910.2690009
36;1715.240688;442.4333384;10;32.5;89.26928551;899.3541133
36;1715.981543;446.1203233;33;32.5;134.7048107;933.7993168
36;1716.444822;446.6724498;44;32.5;152.0216339;938.7725591
36;1716.474712;445.9227302;40;32.5;146.0048392;933.54768
36;1716.0992;444.8760522;19;32.5;108.744378;924.5240535
36;1716.125645;447.0292059;52;32.5;162.275548;937.107885
36;1716.52826;446.908543;55;32.5;167.1044691;938.6623968
36;1716.76161;446.8586813;59;32.5;170.7939083;938.5343012
36;1715.148479;440.4298784;5;32.5;76.33475662;880.334472
36;1716.478573;447.2944436;58;32.5;170.0549388;940.2550527
36;1716.435808;445.4957841;34;32.5;137.0560774;927.402505
36;1716.218961;446.6257501;37;32.5;141.4255622;937.1292343
36;1715.676657;446.238191;35;32.5;138.1303729;932.9544549
36;1679.5711;434.66671;0;32.5;60.59607173;220.8087105
36;1715.251344;442.5883158;11;32.5;91.06632508;907.9965841
36;1716.293273;444.5465584;21;32.5;114.2416738;925.7142044
36;1715.480413;443.4081594;16;32.5;102.5021349;910.734415
36;1714.946626;438.4656279;6;32.5;78.73099915;854.9382294
36;1715.85703;445.8212592;29;32.5;128.097068;932.0566467
36;1715.135633;443.1844695;14;32.5;98.89126103;905.0569314
36;1716.34765;446.9247372;47;32.5;155.6826075;938.8172502
36;1716.093902;445.5615177;30;32.5;129.7011102;932.3896954
36;1715.666234;440.0702292;8;32.5;83.22914888;879.8869912
36;1716.33587;446.9512969;51;32.5;161.5758611;939.6609735
36;1715.738401;446.4226089;46;32.5;154.0825505;934.0922289
36;1716.400728;446.7490764;39;32.5;144.1124395;936.1107316
36;1716.012439;444.7365459;22;32.5;115.4409337;925.8266439
36;1715.576349;445.3923673;28;32.5;126.5314546;926.5764304
36;1716.031138;445.9356666;36;32.5;139.9305437;930.8810134
36;1716.228298;446.5545683;49;32.5;158.1571307;938.9436379
36;1715.101238;444.4287302;15;32.5;100.5064048;914.4833476
36;1715.542014;444.5086562;20;32.5;111.0241958;925.4728153
36;1716.426086;446.8470582;42;32.5;148.9225733;937.4312553
73;2032.701011;900.2030239;0;32.5;67.21406206;700.2123541
73;1905.47869;667.9631699;33;32.5;125.0910902;1120.919442
73;1909.640412;690.4992283;44;32.5;139.1898662;1126.479078
73;1967.424728;803.2763548;13;32.5;96.10873897;1131.622829
73;2048.441483;899.6934829;2;32.5;76.53088528;865.9094791
73;1905.746618;669.3293457;35;32.5;128.2112155;1128.975235
73;1958.571995;725.3269254;19;32.5;105.3894108;1122.711927
73;1847.235646;731.464638;58;32.5;155.1722175;1180.022203
73;1905.806234;669.104635;34;32.5;126.5354398;1131.450897
73;1906.958592;707.0191604;52;32.5;148.1138628;1154.26587
